delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
delhivery,cosmetics,truck,express,central,clear,106.6,23.61,2,4,no,delivered,5,653.83
amazon logistics,documents,van,same day,central,rainy,30.3,4.08,6,8,no,delivered,5,263.74
xpressbees,furniture,scooter,express,west,clear,18.5,23.25,2,2,no,delivered,5,212.25
delhivery,furniture,truck,two day,west,cold,239.0,32.7,8,16,no,delivered,4,1293.1
delhivery,furniture,truck,same day,south,hot,13.9,24.86,0,8,no,delivered,4,244.08
ekart,groceries,van,same day,south,foggy,292.2,0.67,12,8,yes,delayed,3,1562.38
ekart,clothing,bike,same day,central,foggy,97.6,47.11,6,8,no,delivered,4,729.33
fedex,clothing,bike,same day,west,rainy,293.8,0.67,10,8,yes,delayed,2,1570.71
fedex,electronics,ev bike,same day,west,clear,121.8,10.57,4,8,no,delivered,5,740.71
dhl,electronics,bike,same day,south,rainy,238.3,44.84,10,8,yes,delayed,2,1426.02
blue dart,fragile items,scooter,express,south,hot,53.2,4.77,1,3,no,delivered,4,330.31
shadowfax,electronics,ev bike,express,south,clear,61.6,34.12,4,3,yes,delayed,2,460.36
amazon logistics,fragile items,van,same day,west,clear,184.7,28.76,5,8,no,delivered,5,1109.78
shadowfax,automobile parts,ev bike,express,east,rainy,283.8,3.48,14,7,yes,delayed,2,1479.44
amazon logistics,documents,van,standard,east,stormy,271.5,26.41,10,24,no,delivered,3,1436.73
ecom express,groceries,ev van,standard,west,cold,229.3,24.75,9,24,no,delivered,5,1220.75
amazon logistics,groceries,van,standard,central,stormy,241.7,40.93,11,24,no,delivered,5,1331.29
shadowfax,groceries,bike,same day,central,rainy,297.1,3.12,13,8,yes,delayed,2,1605.86
delhivery,groceries,ev bike,same day,south,cold,228.1,17.53,6,8,no,delivered,5,1293.09
dhl,groceries,truck,express,east,foggy,115.3,38.26,8,4,yes,delayed,2,741.28
dhl,cosmetics,ev van,standard,east,foggy,99.0,36.85,6,24,no,delivered,5,605.55
xpressbees,groceries,bike,same day,central,cold,150.9,27.32,4,8,no,delivered,5,936.46
amazon logistics,clothing,truck,express,west,hot,281.1,45.35,7,7,yes,delayed,2,1591.55
shadowfax,groceries,ev bike,two day,central,stormy,5.7,49.24,4,16,no,delivered,5,176.22
dhl,automobile parts,van,express,south,clear,277.0,14.61,9,7,yes,delayed,2,1478.83
amazon logistics,automobile parts,scooter,same day,east,rainy,278.6,10.88,11,8,yes,delayed,2,1525.64
xpressbees,electronics,scooter,same day,east,stormy,37.7,17.05,7,8,no,delivered,4,339.65
amazon logistics,pharmacy,bike,express,east,stormy,9.1,49.52,8,2,yes,delayed,3,244.78
shadowfax,automobile parts,truck,two day,east,foggy,184.3,5.02,6,16,no,delivered,4,936.56
shadowfax,clothing,ev bike,two day,central,foggy,21.2,27.52,2,16,no,delivered,4,188.56
dhl,electronics,van,two day,south,rainy,220.0,2.33,12,16,no,delivered,4,1106.99
dhl,clothing,bike,express,east,clear,108.8,5.76,4,4,yes,delayed,2,611.28
ekart,documents,ev bike,express,north,cold,89.0,28.76,3,3,no,delivered,5,581.28
ekart,automobile parts,ev van,express,west,clear,77.7,35.26,2,3,no,delivered,5,544.28
shadowfax,documents,truck,standard,north,stormy,250.2,44.76,8,24,no,delivered,5,1385.28
dhl,documents,bike,two day,west,stormy,281.8,24.84,13,16,no,delivered,3,1483.52
blue dart,documents,van,two day,west,stormy,28.6,31.47,4,16,no,delivered,3,237.41
delhivery,groceries,truck,two day,central,hot,39.3,43.37,2,16,no,delivered,3,326.61
amazon logistics,automobile parts,ev van,standard,east,clear,218.7,5.33,4,24,no,delivered,4,1109.49
dhl,electronics,van,two day,west,foggy,274.9,39.31,11,16,no,delivered,4,1492.43
shadowfax,furniture,bike,two day,central,hot,278.0,2.36,11,16,no,delivered,3,1397.08
ecom express,pharmacy,ev bike,standard,south,stormy,262.8,6.14,11,24,no,delivered,4,1332.42
blue dart,clothing,ev bike,standard,south,foggy,119.4,5.97,7,24,no,delivered,4,614.91
ecom express,electronics,scooter,express,east,rainy,5.2,27.08,5,2,yes,delayed,2,157.24
xpressbees,automobile parts,van,express,north,hot,3.6,44.58,0,2,no,delivered,4,199.24
shadowfax,documents,bike,express,south,clear,3.6,5.34,1,2,no,delivered,5,95.6674
dhl,documents,bike,same day,east,hot,152.8,33.27,4,8,no,delivered,3,963.81
xpressbees,groceries,scooter,same day,south,hot,87.8,42.14,2,8,no,delivered,4,665.42
blue dart,electronics,bike,express,north,hot,293.2,19.19,10,7,yes,failed,1,1573.57
ekart,clothing,scooter,express,west,stormy,193.7,4.4,10,5,yes,delayed,3,1031.7
ecom express,electronics,truck,same day,south,foggy,247.3,22.94,9,8,yes,delayed,2,1405.32
ekart,furniture,van,standard,north,rainy,271.1,6.07,11,24,no,delivered,5,1373.71
xpressbees,furniture,bike,standard,west,cold,113.6,23.64,4,24,no,delivered,3,638.92
ecom express,documents,truck,two day,south,hot,35.7,40.81,1,16,no,delivered,5,300.93
shadowfax,automobile parts,ev van,standard,east,foggy,8.6,44.86,1,24,no,delivered,4,177.58
ekart,documents,truck,two day,west,foggy,242.6,30.94,7,16,no,delivered,3,1305.82
amazon logistics,electronics,scooter,same day,south,stormy,10.0,18.87,4,8,no,delivered,5,206.61
amazon logistics,electronics,ev bike,same day,east,rainy,170.5,22.77,8,8,yes,delayed,2,1020.81
fedex,cosmetics,van,two day,west,foggy,157.8,14.13,7,16,no,delivered,4,831.39
blue dart,furniture,bike,standard,west,stormy,149.9,1.62,6,24,no,delivered,5,754.36
dhl,documents,truck,same day,south,cold,291.2,38.28,5,8,no,delivered,5,1632.7206
dhl,documents,ev bike,express,south,cold,30.6,14.9,0,2,no,delivered,4,247.7
blue dart,clothing,scooter,express,north,foggy,183.9,17.22,4,5,no,delivered,5,1021.16
dhl,groceries,van,two day,north,stormy,54.9,30.21,4,16,no,delivered,3,365.13
blue dart,cosmetics,bike,two day,south,rainy,34.5,31.2,7,16,no,delivered,5,266.1
xpressbees,pharmacy,van,express,central,rainy,186.1,16.84,9,5,yes,delayed,3,1031.02
dhl,cosmetics,van,express,central,cold,129.2,10.0,4,4,no,delivered,5,726.0
xpressbees,electronics,scooter,express,central,clear,18.6,5.51,1,2,no,delivered,5,159.53
fedex,pharmacy,truck,express,south,rainy,177.3,44.96,13,5,yes,delayed,3,1071.38
xpressbees,cosmetics,ev bike,express,east,stormy,292.3,1.8,11,7,yes,delayed,2,1516.9
xpressbees,clothing,van,standard,south,cold,4.3,48.19,1,24,no,delivered,5,166.07
blue dart,pharmacy,ev bike,standard,south,hot,90.5,13.19,4,24,no,delivered,4,492.07
dhl,electronics,van,two day,north,cold,206.2,17.07,4,16,no,delivered,4,1082.21
xpressbees,automobile parts,van,same day,central,clear,248.9,24.79,6,8,no,delivered,5,1418.87
shadowfax,cosmetics,truck,standard,west,stormy,169.6,34.43,9,24,no,delivered,4,951.29
blue dart,pharmacy,scooter,two day,west,foggy,109.7,4.73,5,16,no,delivered,4,562.69
amazon logistics,pharmacy,ev van,standard,south,rainy,47.7,40.74,5,24,no,delivered,3,360.72
blue dart,cosmetics,truck,standard,central,stormy,49.6,36.42,6,24,no,delivered,4,357.26
ecom express,groceries,van,standard,south,clear,283.9,26.02,7,24,no,delivered,5,1497.56
xpressbees,automobile parts,scooter,standard,north,rainy,3.6,26.72,3,24,no,delivered,4,95.6674
ekart,clothing,ev bike,standard,east,rainy,198.8,1.07,5,24,no,delivered,3,997.21
blue dart,fragile items,bike,two day,central,foggy,171.2,22.88,6,16,no,delivered,4,924.64
ecom express,cosmetics,bike,express,west,cold,230.5,16.63,4,6,no,delivered,5,1252.39
fedex,fragile items,truck,standard,central,stormy,40.2,19.86,6,24,no,delivered,5,260.58
amazon logistics,electronics,van,standard,east,rainy,184.8,47.97,9,24,no,delivered,3,1067.91
amazon logistics,furniture,scooter,standard,south,cold,184.4,43.42,5,24,no,delivered,4,1052.26
delhivery,pharmacy,van,express,east,rainy,249.5,27.57,8,6,yes,delayed,3,1380.21
xpressbees,pharmacy,ev bike,express,east,cold,297.1,13.27,10,7,yes,delayed,2,1588.31
dhl,cosmetics,van,express,central,clear,203.8,14.26,6,6,yes,delayed,3,1111.78
ecom express,pharmacy,truck,standard,south,cold,193.3,36.16,5,24,no,delivered,4,1074.98
blue dart,documents,bike,standard,south,stormy,56.5,45.87,7,24,no,delivered,4,420.11
delhivery,fragile items,ev bike,express,east,rainy,142.7,4.74,7,4,yes,delayed,2,777.72
shadowfax,furniture,bike,standard,east,stormy,227.0,45.4,11,24,no,delivered,4,1271.2
fedex,automobile parts,scooter,two day,east,hot,286.4,26.49,10,16,no,delivered,5,1511.47
fedex,furniture,scooter,express,north,hot,62.5,1.19,3,3,no,delivered,4,366.07
ekart,furniture,van,same day,central,cold,17.2,3.39,2,8,no,delivered,5,196.17
fedex,pharmacy,scooter,same day,east,cold,230.6,38.69,7,8,no,delivered,3,1369.07
ecom express,fragile items,ev bike,standard,east,rainy,47.7,29.05,5,24,no,delivered,4,325.65
xpressbees,automobile parts,van,same day,east,clear,196.7,15.95,3,8,no,delivered,3,1131.35
ecom express,pharmacy,bike,same day,central,hot,73.6,33.78,2,8,no,delivered,5,569.34
ekart,furniture,van,standard,west,foggy,284.7,35.33,7,24,no,delivered,3,1529.49
amazon logistics,electronics,bike,same day,east,stormy,246.4,48.85,12,8,yes,delayed,2,1478.55
dhl,electronics,scooter,standard,east,stormy,178.4,17.16,10,24,no,delivered,4,943.48
ecom express,cosmetics,truck,express,south,clear,33.6,35.16,1,2,no,delivered,5,323.48
amazon logistics,groceries,truck,standard,north,rainy,177.8,28.57,10,24,no,delivered,5,974.71
blue dart,groceries,truck,express,central,cold,13.6,38.31,1,2,no,delivered,4,232.93
ecom express,pharmacy,van,two day,central,rainy,25.5,47.65,3,16,no,delivered,5,270.45
shadowfax,clothing,ev van,two day,south,foggy,208.9,1.83,8,16,no,delivered,5,1049.99
xpressbees,documents,bike,two day,south,hot,46.2,21.4,1,16,no,delivered,4,295.2
shadowfax,electronics,van,two day,central,rainy,26.1,10.42,4,16,no,delivered,5,161.76
blue dart,cosmetics,scooter,same day,south,clear,135.0,30.41,3,8,no,delivered,3,866.23
ecom express,furniture,bike,two day,west,foggy,295.4,39.88,11,16,no,delivered,4,1596.64
blue dart,clothing,truck,two day,central,cold,225.3,44.73,4,16,no,delivered,3,1260.69
amazon logistics,pharmacy,bike,express,central,stormy,152.9,39.64,10,5,yes,failed,2,933.42
blue dart,clothing,truck,standard,west,hot,51.8,34.19,2,24,no,delivered,4,361.57
amazon logistics,fragile items,ev van,express,north,stormy,72.7,12.27,4,3,yes,delayed,2,450.31
dhl,documents,ev bike,same day,central,rainy,242.3,36.91,12,8,yes,delayed,3,1422.23
ekart,documents,ev bike,standard,north,cold,19.2,18.1,1,24,no,delivered,3,150.3
ekart,fragile items,scooter,same day,south,foggy,169.7,22.94,7,8,no,delivered,4,1017.32
ekart,cosmetics,truck,express,north,rainy,271.9,41.99,16,7,yes,delayed,2,1535.47
ecom express,cosmetics,truck,express,north,rainy,136.4,28.64,8,4,yes,delayed,2,817.92
xpressbees,pharmacy,van,express,north,rainy,279.9,33.33,10,7,yes,delayed,2,1549.49
xpressbees,furniture,van,same day,east,clear,221.3,44.98,5,8,no,delivered,3,1341.44
shadowfax,clothing,bike,express,north,cold,210.6,16.86,8,6,yes,failed,1,1153.58
dhl,documents,ev van,express,south,hot,126.3,10.44,5,4,yes,delayed,2,712.82
ecom express,automobile parts,ev van,same day,north,clear,52.5,37.01,2,8,no,delivered,5,473.53
ekart,automobile parts,ev bike,two day,west,hot,71.8,28.16,4,16,no,delivered,3,443.48
ecom express,cosmetics,truck,express,west,hot,48.0,32.99,1,2,no,delivered,5,388.97
dhl,fragile items,bike,standard,south,rainy,217.4,48.66,10,24,no,delivered,5,1232.98
dhl,fragile items,truck,same day,central,rainy,177.3,47.38,9,8,yes,delayed,2,1128.64
fedex,groceries,ev van,standard,north,foggy,179.0,12.51,8,24,no,delivered,3,932.53
xpressbees,cosmetics,bike,same day,north,stormy,98.1,23.77,8,8,yes,delayed,2,661.81
xpressbees,cosmetics,van,express,east,foggy,73.5,21.62,5,3,yes,failed,1,482.36
xpressbees,clothing,ev van,same day,central,rainy,229.7,42.09,11,8,yes,failed,1,1374.77
delhivery,automobile parts,ev van,standard,south,clear,70.7,12.09,1,24,no,delivered,4,389.77
blue dart,furniture,van,express,central,cold,34.0,3.8,3,2,yes,delayed,2,231.4
amazon logistics,documents,scooter,standard,south,rainy,143.6,38.07,6,24,no,delivered,4,832.21
ecom express,furniture,scooter,same day,west,hot,216.6,47.38,6,8,no,delivered,5,1325.14
blue dart,documents,van,standard,south,rainy,6.1,5.62,2,24,no,delivered,4,95.6674
ecom express,documents,scooter,same day,east,cold,78.5,0.98,2,8,no,delivered,3,495.44
ekart,furniture,truck,express,south,cold,200.7,39.74,4,6,no,delivered,3,1172.72
ecom express,automobile parts,bike,standard,south,rainy,123.2,44.14,6,24,no,delivered,5,748.42
ecom express,groceries,bike,same day,east,clear,3.6,23.15,1,8,no,delivered,5,178.45
shadowfax,clothing,bike,two day,south,hot,211.6,28.29,4,16,no,delivered,5,1142.87
blue dart,cosmetics,ev bike,same day,east,rainy,62.5,25.14,5,8,no,delivered,4,487.92
amazon logistics,documents,ev van,same day,east,stormy,82.7,35.3,8,8,yes,delayed,3,619.4
delhivery,furniture,bike,express,east,foggy,149.4,34.33,8,4,yes,delayed,3,899.99
dhl,documents,ev van,express,north,foggy,273.4,3.08,14,7,yes,delayed,3,1426.24
shadowfax,clothing,bike,standard,east,clear,130.7,23.62,5,24,no,delivered,4,724.36
delhivery,documents,bike,express,west,clear,21.9,12.45,1,2,no,delivered,4,196.85
dhl,groceries,scooter,same day,north,rainy,133.2,16.58,7,8,no,delivered,5,815.74
amazon logistics,automobile parts,scooter,standard,south,stormy,110.5,24.08,8,24,no,delivered,5,624.74
delhivery,cosmetics,ev van,express,north,cold,35.8,16.47,2,2,yes,failed,1,278.41
dhl,cosmetics,bike,same day,south,rainy,46.9,7.79,8,8,yes,delayed,2,357.87
delhivery,electronics,ev van,standard,central,cold,180.3,16.9,6,24,no,delivered,5,952.2
shadowfax,electronics,ev van,same day,north,stormy,294.3,38.87,12,8,yes,failed,1,1632.7206
delhivery,groceries,van,express,south,clear,265.5,31.22,5,7,no,delivered,3,1471.16
ekart,fragile items,ev bike,two day,north,stormy,249.4,13.56,7,16,no,delivered,4,1287.68
fedex,electronics,truck,standard,central,rainy,73.9,41.99,7,24,no,delivered,4,495.47
blue dart,cosmetics,ev van,standard,east,stormy,175.4,46.01,11,24,no,delivered,4,1015.03
ekart,fragile items,scooter,express,north,cold,43.8,13.2,1,2,no,delivered,4,308.6
amazon logistics,documents,ev van,two day,south,cold,130.1,38.3,2,16,no,delivered,3,765.4
xpressbees,clothing,van,two day,west,foggy,220.7,1.9,8,16,no,delivered,5,1109.2
delhivery,clothing,ev van,same day,west,rainy,65.9,47.65,5,8,no,delivered,4,572.45
amazon logistics,electronics,ev van,same day,west,foggy,257.6,3.47,8,8,yes,delayed,2,1398.41
fedex,fragile items,ev van,same day,east,stormy,220.9,44.25,12,8,yes,delayed,3,1337.25
blue dart,fragile items,ev bike,two day,east,rainy,200.1,27.01,9,16,no,delivered,3,1081.53
ecom express,cosmetics,van,two day,central,cold,265.6,16.57,11,16,no,delivered,5,1377.71
dhl,electronics,ev bike,same day,south,stormy,82.9,49.15,6,8,no,delivered,5,661.95
ekart,automobile parts,scooter,express,central,rainy,283.3,38.72,9,7,yes,delayed,3,1582.66
blue dart,cosmetics,scooter,standard,central,clear,118.3,36.78,3,24,no,delivered,3,701.84
amazon logistics,fragile items,ev bike,standard,central,stormy,120.7,34.43,7,24,no,delivered,4,706.79
ekart,groceries,ev bike,same day,west,stormy,246.7,32.89,10,8,yes,failed,1,1432.17
shadowfax,clothing,scooter,standard,south,rainy,257.7,31.64,9,24,no,delivered,5,1383.42
ekart,fragile items,ev van,two day,west,cold,215.2,40.69,8,16,no,delivered,5,1198.07
ecom express,electronics,ev bike,express,east,stormy,118.3,11.11,5,4,yes,delayed,2,674.83
amazon logistics,clothing,ev van,two day,central,foggy,267.4,6.01,8,16,no,delivered,3,1355.03
fedex,clothing,van,two day,central,rainy,235.6,26.71,10,16,no,delivered,4,1258.13
dhl,electronics,truck,same day,north,hot,132.0,44.93,5,8,no,delivered,4,894.79
shadowfax,furniture,truck,express,west,cold,116.1,30.12,5,4,yes,failed,1,720.86
fedex,documents,bike,standard,west,stormy,155.1,30.65,9,24,no,delivered,3,867.45
ecom express,automobile parts,scooter,two day,west,cold,264.8,38.82,8,16,no,delivered,4,1440.46
xpressbees,automobile parts,ev van,same day,central,foggy,248.7,34.33,9,8,yes,delayed,2,1446.49
delhivery,clothing,ev bike,express,north,clear,13.9,7.81,2,2,no,delivered,4,142.93
amazon logistics,fragile items,truck,standard,central,cold,206.0,11.52,7,24,no,delivered,3,1064.56
blue dart,electronics,bike,two day,north,hot,149.5,17.38,6,16,no,delivered,4,799.64
ekart,documents,bike,standard,north,cold,43.7,42.52,2,24,no,delivered,3,346.06
dhl,pharmacy,truck,same day,west,hot,3.8,34.47,0,8,no,delivered,5,222.41
blue dart,clothing,bike,standard,central,rainy,127.6,35.48,8,24,no,delivered,4,744.44
ecom express,electronics,bike,same day,central,hot,71.5,13.45,3,8,no,delivered,5,497.85
ecom express,clothing,truck,standard,north,cold,75.0,33.26,4,24,no,delivered,5,474.78
blue dart,pharmacy,ev van,two day,central,foggy,186.1,33.27,11,16,no,delivered,5,1030.31
ekart,clothing,ev van,express,west,cold,150.4,38.88,3,5,no,delivered,3,918.64
dhl,documents,van,express,east,foggy,63.8,48.18,5,3,yes,failed,1,513.54
xpressbees,clothing,ev van,two day,west,rainy,269.2,44.07,10,16,no,delivered,3,1478.21
shadowfax,fragile items,truck,standard,south,foggy,151.3,33.06,5,24,no,delivered,4,855.68
xpressbees,fragile items,ev van,same day,east,foggy,33.2,28.96,5,8,no,delivered,5,352.88
delhivery,fragile items,scooter,same day,south,cold,59.3,47.51,3,8,no,delivered,5,539.03
fedex,electronics,truck,same day,south,clear,291.2,19.15,7,8,no,delivered,4,1613.45
blue dart,documents,ev van,same day,west,clear,143.5,22.72,4,8,no,delivered,4,885.66
ekart,fragile items,ev van,two day,south,clear,222.4,11.88,6,16,no,delivered,5,1147.64
xpressbees,furniture,ev van,express,west,stormy,297.1,37.49,14,7,yes,failed,1,1632.7206
blue dart,electronics,bike,standard,south,clear,99.5,27.33,5,24,no,delivered,3,579.49
delhivery,documents,truck,same day,central,cold,10.0,21.77,1,8,no,delivered,3,215.31
fedex,fragile items,bike,same day,north,rainy,179.3,11.62,6,8,no,delivered,3,1031.36
xpressbees,fragile items,van,two day,south,foggy,8.0,23.08,3,16,no,delivered,5,109.24
fedex,groceries,bike,same day,south,cold,118.4,30.88,7,8,no,delivered,5,784.64
blue dart,clothing,ev bike,standard,east,stormy,59.2,35.08,9,24,no,delivered,4,401.24
xpressbees,electronics,ev bike,express,east,rainy,259.8,45.29,12,7,yes,failed,1,1484.87
dhl,documents,bike,same day,north,cold,25.3,20.37,2,8,no,delivered,3,287.61
xpressbees,fragile items,ev van,express,east,hot,262.7,15.5,7,7,yes,delayed,2,1410.0
blue dart,fragile items,ev van,two day,east,clear,127.6,37.58,4,16,no,delivered,4,750.74
ecom express,documents,ev van,same day,east,cold,142.1,20.58,5,8,no,delivered,3,872.24
ekart,automobile parts,van,express,east,clear,8.1,30.87,3,2,yes,failed,1,183.11
ecom express,fragile items,ev van,two day,west,stormy,216.1,33.05,13,16,no,delivered,4,1179.65
dhl,automobile parts,ev van,same day,west,clear,211.2,1.98,7,8,no,delivered,4,1161.94
xpressbees,cosmetics,truck,express,north,cold,198.8,37.64,4,5,no,delivered,4,1156.92
fedex,pharmacy,van,express,west,hot,53.3,45.91,1,3,no,delivered,5,454.23
delhivery,automobile parts,ev bike,same day,central,foggy,132.2,8.96,7,8,no,delivered,4,787.88
delhivery,cosmetics,bike,standard,east,rainy,247.9,33.74,8,24,no,delivered,5,1340.72
dhl,fragile items,van,same day,south,rainy,3.6,29.34,3,8,no,delivered,3,200.52
blue dart,groceries,bike,express,east,cold,227.7,12.32,6,6,yes,delayed,3,1225.46
shadowfax,documents,ev bike,two day,north,hot,225.7,7.75,9,16,no,delivered,4,1151.75
blue dart,pharmacy,bike,same day,east,clear,281.1,7.27,9,8,yes,failed,2,1527.31
shadowfax,groceries,ev bike,two day,north,stormy,171.4,0.67,11,16,no,delivered,5,858.44
blue dart,groceries,truck,same day,south,cold,97.4,19.47,4,8,no,delivered,3,645.41
blue dart,cosmetics,van,standard,central,stormy,20.6,21.97,5,24,no,delivered,5,168.91
dhl,pharmacy,truck,same day,central,rainy,258.1,25.98,11,8,yes,delayed,3,1468.44
shadowfax,documents,bike,same day,east,rainy,164.2,49.52,5,8,no,delivered,3,1070.22
dhl,documents,ev bike,standard,central,cold,93.7,7.8,4,24,no,delivered,4,491.9
dhl,furniture,scooter,two day,south,foggy,255.3,37.77,6,16,no,delivered,4,1389.81
dhl,documents,ev van,standard,south,rainy,212.0,47.56,7,24,no,delivered,3,1202.68
dhl,documents,ev van,express,central,foggy,27.6,41.09,4,2,yes,delayed,3,311.27
dhl,clothing,truck,standard,west,rainy,194.5,17.12,13,24,no,delivered,5,1023.86
amazon logistics,pharmacy,truck,two day,east,cold,251.9,21.38,7,16,no,delivered,4,1323.64
shadowfax,groceries,ev van,express,south,clear,77.2,26.12,5,3,yes,delayed,2,514.36
dhl,groceries,van,same day,west,cold,66.3,39.59,3,8,no,delivered,5,550.27
xpressbees,clothing,van,two day,central,stormy,284.8,9.71,16,16,yes,delayed,3,1453.13
fedex,electronics,ev van,express,south,clear,214.0,18.76,7,6,yes,delayed,3,1176.28
ecom express,cosmetics,van,express,west,stormy,266.2,22.35,8,7,yes,delayed,3,1448.05
shadowfax,automobile parts,van,same day,south,hot,108.5,30.53,2,8,no,delivered,3,734.09
blue dart,documents,bike,two day,south,cold,275.9,35.0,6,16,no,delivered,4,1484.5
shadowfax,fragile items,scooter,express,south,rainy,177.8,23.13,9,5,yes,failed,1,1008.39
xpressbees,pharmacy,scooter,standard,central,stormy,168.0,35.11,8,24,no,delivered,5,945.33
blue dart,documents,ev bike,express,south,hot,79.3,2.64,2,3,no,delivered,5,454.42
blue dart,pharmacy,truck,same day,east,hot,8.4,25.79,2,8,no,delivered,4,219.37
shadowfax,clothing,van,two day,central,rainy,158.5,35.59,6,16,no,delivered,4,899.27
amazon logistics,groceries,ev van,two day,east,clear,294.1,5.23,7,16,no,delivered,4,1486.19
dhl,cosmetics,van,same day,north,foggy,118.3,35.15,7,8,no,delivered,4,796.95
fedex,fragile items,van,express,central,rainy,281.9,35.77,12,7,yes,delayed,2,1566.81
shadowfax,clothing,ev bike,two day,north,foggy,20.8,34.65,3,16,no,delivered,4,207.95
shadowfax,automobile parts,scooter,same day,central,hot,68.2,48.82,3,8,no,delivered,4,587.46
blue dart,pharmacy,van,standard,south,hot,85.8,45.17,3,24,no,delivered,3,564.51
dhl,documents,ev bike,same day,west,rainy,111.6,42.81,5,8,no,delivered,4,786.43
ecom express,fragile items,scooter,two day,west,foggy,167.3,4.03,6,16,no,delivered,5,848.59
amazon logistics,fragile items,van,two day,south,rainy,251.6,48.15,8,16,no,delivered,4,1402.45
xpressbees,documents,bike,standard,south,cold,171.7,44.1,4,24,no,delivered,5,990.8
delhivery,electronics,ev bike,same day,north,cold,38.4,28.78,1,8,no,delivered,3,378.34
dhl,documents,ev van,two day,south,clear,11.4,39.27,2,16,no,delivered,5,174.81
delhivery,cosmetics,ev bike,two day,north,stormy,208.6,39.35,7,16,no,delivered,4,1161.05
ekart,electronics,truck,two day,north,rainy,214.9,40.09,10,16,no,delivered,4,1194.77
amazon logistics,documents,ev van,two day,east,cold,3.6,34.68,0,16,no,delivered,4,116.54
dhl,documents,ev van,two day,central,rainy,26.9,31.07,5,16,no,delivered,5,227.71
blue dart,electronics,van,express,south,rainy,265.0,28.27,11,7,yes,failed,1,1459.81
xpressbees,pharmacy,truck,same day,west,rainy,177.0,37.24,9,8,yes,delayed,2,1096.72
xpressbees,fragile items,ev van,standard,south,foggy,139.8,41.62,6,24,no,delivered,5,823.86
shadowfax,clothing,scooter,standard,west,stormy,28.4,25.16,9,24,no,delivered,4,217.48
amazon logistics,fragile items,ev bike,express,east,foggy,85.0,23.49,4,3,yes,delayed,2,545.47
xpressbees,automobile parts,van,two day,west,foggy,216.2,44.22,5,16,no,delivered,4,1213.66
shadowfax,fragile items,bike,standard,west,cold,171.5,14.93,6,24,no,delivered,5,902.29
ecom express,cosmetics,van,express,central,foggy,163.4,1.51,8,5,yes,delayed,3,871.53
ekart,furniture,truck,two day,east,hot,238.9,5.24,6,16,no,delivered,5,1210.22
fedex,clothing,ev bike,standard,south,cold,219.1,23.11,4,24,no,delivered,3,1164.83
shadowfax,automobile parts,bike,standard,north,cold,86.1,5.47,2,24,no,delivered,3,446.91
xpressbees,furniture,truck,standard,west,hot,277.2,49.52,6,24,no,delivered,5,1535.34
fedex,furniture,truck,same day,south,clear,181.0,39.46,6,8,no,delivered,4,1123.38
dhl,groceries,truck,same day,north,foggy,39.6,14.42,5,8,no,delivered,4,341.26
blue dart,clothing,ev bike,two day,east,foggy,154.0,16.87,7,16,no,delivered,4,820.61
shadowfax,groceries,ev bike,two day,central,hot,127.7,20.68,4,16,no,delivered,4,700.54
blue dart,fragile items,van,same day,south,clear,241.8,4.13,9,8,yes,delayed,2,1321.39
fedex,pharmacy,scooter,two day,east,clear,279.0,11.59,7,16,no,delivered,4,1429.77
dhl,groceries,ev van,two day,east,stormy,65.4,0.67,5,16,no,delivered,5,327.9
xpressbees,electronics,ev van,same day,west,rainy,217.3,35.51,5,8,no,delivered,4,1293.03
fedex,groceries,bike,standard,central,hot,162.1,2.65,5,24,no,delivered,4,818.45
delhivery,clothing,van,same day,east,cold,270.7,10.51,7,8,no,delivered,5,1485.03
fedex,groceries,ev bike,express,east,clear,23.4,39.43,1,2,no,delivered,4,285.29
blue dart,clothing,truck,two day,east,cold,212.9,23.24,8,16,no,delivered,5,1134.22
dhl,automobile parts,ev van,same day,west,stormy,290.7,28.46,11,8,yes,failed,1,1632.7206
ekart,clothing,scooter,same day,west,cold,173.3,34.81,6,8,no,delivered,5,1070.93
blue dart,clothing,ev van,same day,south,hot,92.6,49.52,2,8,no,delivered,4,712.91
ecom express,pharmacy,scooter,express,south,stormy,198.5,13.02,9,5,yes,delayed,3,1081.56
ekart,groceries,bike,two day,west,stormy,7.9,21.83,7,16,no,delivered,5,104.99
fedex,automobile parts,ev bike,two day,east,hot,166.5,31.24,6,16,no,delivered,4,926.22
amazon logistics,groceries,ev van,two day,west,clear,117.6,29.68,4,16,no,delivered,4,677.04
dhl,pharmacy,van,two day,north,clear,35.3,0.68,2,16,no,delivered,4,178.54
ecom express,fragile items,bike,standard,central,rainy,273.3,0.67,9,24,no,delivered,5,1367.25
dhl,automobile parts,ev van,same day,central,foggy,143.4,33.34,7,8,no,delivered,5,917.02
ecom express,fragile items,bike,express,central,stormy,264.0,5.09,7,7,yes,delayed,2,1385.27
fedex,pharmacy,truck,same day,north,stormy,78.2,32.24,6,8,no,delivered,3,587.72
delhivery,fragile items,bike,express,east,cold,94.6,33.67,2,3,no,delivered,4,624.01
amazon logistics,documents,truck,two day,west,stormy,295.5,44.03,14,16,no,delivered,4,1609.59
amazon logistics,fragile items,bike,two day,south,foggy,166.3,23.81,7,16,no,delivered,5,902.93
